product_id,title,description,text
PROD_000001,H&M Purple Sandals,"This purple sandals from H&M is perfect for special occasions. Made from high-quality modal, it features a loose fit and modern design. Available in size 34. Care instructions: Dry clean only.","Title: H&M Purple Sandals
Description: This purple sandals from H&M is perfect for special occasions. Made from high-quality modal, it features a loose fit and modern design. Available in size 34. Care instructions: Dry clean only."
PROD_000002,H&M Blue Formal Dresses in Viscose,"This blue formal dresses from H&M is perfect for casual outings. Made from high-quality viscose, it features a tailored and trendy design. Available in size 32. Care instructions: Hand wash.","Title: H&M Blue Formal Dresses in Viscose
Description: This blue formal dresses from H&M is perfect for casual outings. Made from high-quality viscose, it features a tailored and trendy design. Available in size 32. Care instructions: Hand wash."
PROD_000003,Gap Burgundy Pajamas in Modal,"This burgundy pajamas from Gap is perfect for everyday wear. Made from high-quality modal, it features a regular fit and stylish design. Available in size 36. Care instructions: Hand wash.","Title: Gap Burgundy Pajamas in Modal
Description: This burgundy pajamas from Gap is perfect for everyday wear. Made from high-quality modal, it features a regular fit and stylish design. Available in size 36. Care instructions: Hand wash."
PROD_000004,Shein White Handbags,"This white handbags from Shein is perfect for casual outings. Made from high-quality cotton, it features a loose fit and modern design. Available in size 32. Care instructions: Hand wash.","Title: Shein White Handbags
Description: This white handbags from Shein is perfect for casual outings. Made from high-quality cotton, it features a loose fit and modern design. Available in size 32. Care instructions: Hand wash."
PROD_000005,Primark Olive Mini Dresses in Linen,"This olive mini dresses from Primark is perfect for office. Made from high-quality linen, it features a regular fit and elegant design. Available in size 32. Care instructions: Dry clean only.","Title: Primark Olive Mini Dresses in Linen
Description: This olive mini dresses from Primark is perfect for office. Made from high-quality linen, it features a regular fit and elegant design. Available in size 32. Care instructions: Dry clean only."
PROD_000006,Missguided Mint Swimwear,"This mint swimwear from Missguided is perfect for weekend. Made from high-quality suede, it features a tailored and classic design. Available in size 8. Care instructions: Hand wash.","Title: Missguided Mint Swimwear
Description: This mint swimwear from Missguided is perfect for weekend. Made from high-quality suede, it features a tailored and classic design. Available in size 8. Care instructions: Hand wash."
PROD_000007,Primark Blue Midi Dresses,"This blue midi dresses from Primark is perfect for everyday wear. Made from high-quality leather, it features a loose fit and trendy design. Available in size L. Care instructions: Dry clean only. Perfect for fall season.","Title: Primark Blue Midi Dresses
Description: This blue midi dresses from Primark is perfect for everyday wear. Made from high-quality leather, it features a loose fit and trendy design. Available in size L. Care instructions: Dry clean only. Perfect for fall season."
PROD_000008,Zara Black Flats in Silk,"This black flats from Zara is perfect for everyday wear. Made from high-quality silk, it features a fitted and casual design. Available in size 34. Care instructions: Dry clean only. Perfect for spring season.","Title: Zara Black Flats in Silk
Description: This black flats from Zara is perfect for everyday wear. Made from high-quality silk, it features a fitted and casual design. Available in size 34. Care instructions: Dry clean only. Perfect for spring season."
PROD_000009,Uniqlo Green Scarves in Suede,"This green scarves from Uniqlo is perfect for office. Made from high-quality suede, it features a tailored and casual design. Available in size 12. Care instructions: Hand wash.","Title: Uniqlo Green Scarves in Suede
Description: This green scarves from Uniqlo is perfect for office. Made from high-quality suede, it features a tailored and casual design. Available in size 12. Care instructions: Hand wash."
PROD_000010,Gap White Pajamas,"This white pajamas from Gap is perfect for everyday wear. Made from high-quality wool, it features a fitted and casual design. Available in size XXL. Care instructions: Machine wash. Perfect for summer season.","Title: Gap White Pajamas
Description: This white pajamas from Gap is perfect for everyday wear. Made from high-quality wool, it features a fitted and casual design. Available in size XXL. Care instructions: Machine wash. Perfect for summer season."
PROD_000011,PrettyLittleThing Orange Sunglasses in Cashmere,"This orange sunglasses from PrettyLittleThing is perfect for weekend. Made from high-quality cashmere, it features a oversized and classic design. Available in size 12. Care instructions: Machine wash.","Title: PrettyLittleThing Orange Sunglasses in Cashmere
Description: This orange sunglasses from PrettyLittleThing is perfect for weekend. Made from high-quality cashmere, it features a oversized and classic design. Available in size 12. Care instructions: Machine wash."
